label,precision,recall,f1_score,support
Backend,0.631578947368421,0.9056603773584906,0.7441860465116279,53
Data Analyst,0.39285714285714285,0.7333333333333333,0.5116279069767442,15
Data Scientist,0.75,0.75,0.75,4
DevOps,0.8441558441558441,0.7303370786516854,0.7831325301204819,89
ML Engineer,0.6470588235294118,0.6875,0.6666666666666666,16
Other,0.9411764705882353,0.7950310559006211,0.8619528619528619,161
QA,1.0,1.0,1.0,2
