label,precision,recall,f1_score,support
Backend,0.18181818181818182,0.5,0.26666666666666666,4
Data Analyst,0.5263157894736842,0.7692307692307693,0.625,13
Data Scientist,0.8571428571428571,0.8571428571428571,0.8571428571428571,7
DevOps,0.775,0.7045454545454546,0.7380952380952381,44
ML Engineer,0.8333333333333334,0.625,0.7142857142857143,8
Other,0.9369369369369369,0.8666666666666667,0.9004329004329005,120
QA,0.5,0.75,0.6,4
